Hora;Day of din_instante;Measure Names;Avg. Val Geraç‹o FIXED Hora;Measure Values;;
22:00;March 23, 2022;;0;;;
23:00;March 23, 2022;;0;;;
00:00;March 22, 2022;;0;;;
01:00;March 22, 2022;;0;;;
02:00;March 22, 2022;;0;;;
03:00;March 22, 2022;;0;;;
04:00;March 22, 2022;;0;;;
05:00;March 22, 2022;;0;;;
06:00;March 22, 2022;;1.469;;;
07:00;March 22, 2022;;25.186;;;
08:00;March 22, 2022;;67.478;;;
09:00;March 22, 2022;;103.018;;;
10:00;March 22, 2022;;126.259;;;
11:00;March 22, 2022;;139.277;;;
12:00;March 22, 2022;;141.926;;;
13:00;March 22, 2022;;135.778;;;
14:00;March 22, 2022;;120.946;;;
15:00;March 22, 2022;;96.84;;;
16:00;March 22, 2022;;53.798;;;
17:00;March 22, 2022;;25.142;;;
18:00;March 22, 2022;;1.354;;;
19:00;March 22, 2022;;0;;;
20:00;March 22, 2022;;0;;;
21:00;March 22, 2022;;0;;;
22:00;March 22, 2022;;0;;;
23:00;March 22, 2022;;0;;;
00:00;March 21, 2022;;0;;;
01:00;March 21, 2022;;0;;;
02:00;March 21, 2022;;0;;;
03:00;March 21, 2022;;0;;;
04:00;March 21, 2022;;0;;;
05:00;March 21, 2022;;0;;;
06:00;March 21, 2022;;0.806;;;
07:00;March 21, 2022;;16.618;;;
08:00;March 21, 2022;;68.299;;;
09:00;March 21, 2022;;102.485;;;
10:00;March 21, 2022;;126;;;
11:00;March 21, 2022;;138.946;;;
12:00;March 21, 2022;;142.171;;;
13:00;March 21, 2022;;137.563;;;
14:00;March 21, 2022;;121.752;;;
15:00;March 21, 2022;;82.037;;;
16:00;March 21, 2022;;49.104;;;
17:00;March 21, 2022;;14.846;;;
18:00;March 21, 2022;;1.166;;;
19:00;March 21, 2022;;0;;;
20:00;March 21, 2022;;0;;;
21:00;March 21, 2022;;0;;;
22:00;March 21, 2022;;0;;;
23:00;March 21, 2022;;0;;;
00:00;March 20, 2022;;0;;;
01:00;March 20, 2022;;0;;;
02:00;March 20, 2022;;0;;;
03:00;March 20, 2022;;0;;;
04:00;March 20, 2022;;0;;;
05:00;March 20, 2022;;0;;;
06:00;March 20, 2022;;0.979;;;
07:00;March 20, 2022;;14.112;;;
08:00;March 20, 2022;;30.37;;;
09:00;March 20, 2022;;49.306;;;
10:00;March 20, 2022;;79.56;;;
11:00;March 20, 2022;;100.57;;;
12:00;March 20, 2022;;88.229;;;
13:00;March 20, 2022;;60.379;;;
14:00;March 20, 2022;;32.688;;;
15:00;March 20, 2022;;43.79;;;
16:00;March 20, 2022;;32.717;;;
17:00;March 20, 2022;;17.021;;;
18:00;March 20, 2022;;0.59;;;
19:00;March 20, 2022;;0;;;
20:00;March 20, 2022;;0;;;
21:00;March 20, 2022;;0;;;
22:00;March 20, 2022;;0;;;
23:00;March 20, 2022;;0;;;
